Title,Company,Job Type,Location,Link
Appointment Setter,Virtual Worker Now -,Full TimeRemote,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/MISFTS-Egypt-41026
Customer Success Manager,Virtual Worker Now -,Full TimeRemote,"East New York, United States",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/MISFTS-Egypt-41026
Senior Business Development Executive,Dottopia -,Full TimeOn-site,"Agouza, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Dottopia-Egypt-14311
General Ledger Accountant,Dayra Market  -,Full TimeHybrid,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Dayra Market-Egypt-108750
Technical Office Engineer/Cost Control Engineer,TradeLink -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/TradeLink-Egypt-65473
Inside Sales Executive,JRM for Communications -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/JRM-for-Communications-Egypt-920
Export Sales Specialist,Farm Fresh -,Full TimeOn-site,"Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Farm-Fresh-Egypt-38563
Spanish Customer Service Agent,VXI -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/VXI-Egypt-98815
Italian Chat support agents,VXI -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/VXI-Egypt-98815
Branch Accountant,Shiny White Dental Center  -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Shiny-white-dental-center-Egypt-30357
Human Resource Administrator,Edimex for Trade - BECO -,Full TimeOn-site,"New Heliopolis, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Edimex for Trade - BECO-Egypt-126189
Administrative Manager,Raghaeb for managing restaurants (ABU TAREK KUSHARI) -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Raghaeb-for-managing-restaurants--ABU-TAREK-KUSHARI--Egypt-96991
Expert SHE,LEONI Wiring System Egypt S.A.E -,Full TimeOn-site,"Badr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/LEONI-Wiring-System-Egypt-S-A-E-Egypt-4098
Financial Analysis And Planning Section Head,Al monairy -,Full TimeOn-site,"10th of Ramadan City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Al-monairy-Egypt-15078
Global Procurement Manager,Mamiba  -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Mamiba-Cosmetics-Egypt-8409
Odoo Developer (80% Remote),softprimes -,Full TimeHybrid,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/softprimes-Egypt-92296
Technical Office Engineer,Capital Link Developments -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Progate-Egypt-16414
Organization Development Manager,Al monairy -,Full TimeOn-site,"10th of Ramadan City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Al-monairy-Egypt-15078
Real Estate Sales Admin,Addreic -,Full TimeOn-site,"Madinaty, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Addreic-Egypt-125283
Computer science instructor,Sky Elite -,Full TimeOn-site,"Dammam, Saudi Arabia",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Sky Elite-Saudi Arabia-126187
Marketing Specialist,Creamcar -,Full TimeRemote,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/PIX-Saudi Arabia-116344
Supply Chain Engineer,Incotech for Electrical Industries -,Full TimeOn-site,"10th of Ramadan City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/incotech-for-electrical-industries-Egypt-40749
Junior Electrical Site Engineer,Constructive -,Full TimeOn-site,"Sheikh Zayed, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Constructive-Egypt-89584
Customer Support (Upselling) - US Market,Virtual Worker Now -,Full TimeRemote,"New York City, United States",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/MISFTS-Egypt-41026
Site Architect,NAB Designs -,Full TimeOn-site,"Sheikh Zayed, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Nab-Egypt-94010
Senior Accountant,Confidential -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/m7qocPhxI1Ln-Senior-Accountant-Cairo-Egypt
Junior Mechanical Site Engineer,Constructive -,Full TimeOn-site,"Sheikh Zayed, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Constructive-Egypt-89584
Hotel and reservations advisor (English account),Sutherland -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Sutherland-Global-Services-Egypt-1009
Etisalat UAE - English Call Center - B2B Account,Etisalat Egypt -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Etisalat-Misr-Egypt-4219
Graphic Designer,le Voile   -,Full TimeOn-site,"New Nozha, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/le-Voile-Stores-Egypt-119510
IT Engineer,Eagle Chemicals -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Eagle-12429
Senior Electrical Procurement Engineer,GTCI Constructors  -,Full TimeOn-site,"Heliopolis, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/GTCI-Constructors-Egypt-65993
Recruitment and Training Specialist / Senior,Eagle Chemicals -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Eagle-12429
PHP Developer,Casita -,Full TimeHybrid,"Dokki, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Casita-Egypt-47449
Cold callers,The expert networks -,Full TimeRemote,"10th of Ramadan City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/The expert networks-Ethiopia-126183
Projects and Assets Accountant,Eagle Chemicals -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Eagle-12429
CHIEF ACCOUNTING,Raghaeb for managing restaurants (ABU TAREK KUSHARI) -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Raghaeb-for-managing-restaurants--ABU-TAREK-KUSHARI--Egypt-96991
English Call Center Advisor,Sutherland -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Sutherland-Global-Services-Egypt-1009
Project Senior Electrical Engineer,Saint-Gobain -,Freelance / ProjectOn-site,"Ain Sokhna, Suez, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Saint-Gobain-Glass-Egypt-7552
Senior Customer Service & Documentation Specialist,Middle East Shipping Line (MSL)  -,Full TimeOn-site,"Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Middle East Shipping Line (MSL)-Egypt-119642
HR Manager,Kgroup -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Elkhlood-Group-Egypt-40491
Housekeeping Manager,Delta Egypt for construction and rebuilding -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Delta-for-construction-and-rebuilding-Egypt-30080
Production Engineer,VIVO -,Full TimeOn-site,"10th of Ramadan City, Sharqia, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/VIVO-Egypt-75087
Property Advisor (Fresh Grads- Zero Experience),The Address Investments for Real Estate Consultancy -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/The-Address-for-Realstate-Consultancy-Egypt-28523
Stock Controller,Confidential -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/zze50rqZb0YJ-Stock-Controller-Cairo-Egypt
Mechanical technical office and proposal engineer,System Technique -,Full TimeOn-site,"Abu Rawash, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/system-technique-Egypt-20876
Quality Control Engineer,Firoz Group -,Full TimeOn-site,"Obour City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Firoz-Group-Egypt-9464
Customer Care Coordinator,Intlaqaa -,Full TimeOn-site,"Sheikh Zayed, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Intlaqaa-Egypt-124422
Telesales Executive,Intlaqaa -,Full TimeOn-site,"Sheikh Zayed, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Intlaqaa-Egypt-124422
Cost Accountant,Intlaqaa -,Full TimeOn-site,"Sheikh Zayed, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Intlaqaa-Egypt-124422
Night Auditor,Blue Nile -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Blue-Nile-Egypt-17532
German Speaking - Business Developer,The Translation Gate -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/The-Translation-Gate-Egypt-18445
Property Consultant,Dewan for Real Estate  -,Full TimeOn-site,"Smouha, Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Dewan for Real Estate-Egypt-97503
MEP Technical Office Engineer (Electrical -Mechanical),LEEDS FIT-OUT -,Full TimeOn-site,"Sheikh Zayed, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-95444
Senior Social Media Specialist,SYE English Community -,Full TimeOn-site,"Dokki, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/SYE-English-Community-Egypt-13113
MEP Engineer,ENOVA Facilities Management -,Full TimeOn-site,"Tanta, Gharbia, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/ENOVA-Facilities-Management-Egypt-79582
Freelance Sales Recruiter,Aqarmap.com -,Freelance / ProjectRemote,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Aqarmap-com-Egypt-3836
Physician Claims Adjuster,Al Ahly Medical Company -,Full TimeOn-site,"Giza, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Al-Ahly-Medical-Company-Egypt-7459
Fire Alarm Engineer,Smart Safety -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Smart Safety-Egypt-126062
Interior Designer,DALWA COMPANY  -,Full TimeOn-site,"Sheraton, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/DALWA COMPANY-Egypt-119894
Social Media Manager,SOUQ PACK -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-103898
Programs planner,3Sixty -,Full TimeHybrid,"Mohandessin, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/360Imaging-Egypt-6022
Factory Manager,ataya -,Full TimeOn-site,"10th of Ramadan City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/ataya-Egypt-52439
Procurement Section Head,Confidential -,Full TimeOn-site,"Manial, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/MrnmMtY8GTXT-Procurement-Section-Head-Cairo-Egypt
Junior Production Engineer - Plastic and Printing,Mamiba  -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Mamiba-Cosmetics-Egypt-8409
Account Manager,ataya -,Full TimeOn-site,"10th of Ramadan City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/ataya-Egypt-52439
Sales Engineer,Hamza Group -,Full TimeOn-site,"Dokki, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Hamza-Group-Egypt-38289
Warehouse Manager,Mamiba  -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Mamiba-Cosmetics-Egypt-8409
Procurement Engineer,PAVILLION ARCHITECTS -,Full TimeOn-site,"Sheraton, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/pavillionarchitects-Egypt-42884
Raw Material Sourcing Supervisor,Royal Herbs  -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Royal-Herbs--Egypt-14828
Biostatistician,Confidential -,Full TimeRemote,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/ntx7fmiEkFh9-Biostatistician-Cairo-Egypt
Senior Business Development Executive (SaaS HRMS),Mawared Hr system -,Full TimeOn-site,"Mohandessin, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Mawared-Hr-system-Egypt-123446
Maintenance Manager,MEDIC -,Full TimeOn-site,"Monufya, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/MEDIC-Egypt-42169
Billing Executive,IDH  -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/IDH-Egypt-124522
Proposal Coordinator,IDH  -,Full TimeHybrid,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/IDH-Egypt-124522
Business Development Specialist,IDH  -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/IDH-Egypt-124522
Office Administrator,IDH  -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/IDH-Egypt-124522
Social Media Specialist,IDH  -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/IDH-Egypt-124522
Rent Manager - Hotel Flats,Confidential -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/OMnHCmxpNFGi-Rent-Manager---Hotel-Flats-Cairo-Egypt
Accountant,Impex Trading -,Full TimeOn-site,"Mohandessin, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Impex Trading-Egypt-126138
Customer Support Representative,Confidential -,Full TimeOn-site,"Sheraton, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/U1shvAyqfIGZ-Customer-Support-Representative-Cairo-Egypt
Sales Engineer,Obegi Chemicals -,Full TimeRemote,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Obegi-Chemicals-Egypt-31537
Internal Audit Section Head,Al monairy -,Full TimeOn-site,"10th of Ramadan City, Sharqia, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Al-monairy-Egypt-15078
Electrostatic Paint Engineer,Kama Manufacturing -,Full TimeOn-site,"10th of Ramadan City, Sharqia, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Kama-Manufacturing-Egypt-18439
Senior Digital Marketing specialist - Real-estate,Confidential -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/nlj2oPPWUPFH-Senior-Digital-Marketing-specialist---Real-estate-Cairo-Egypt
Sales Administrative Assistant,kidshouse-eg -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/kidshouse-eg-Egypt-126109
Reservation & Contracting Specialist,Confidential -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/ntWmW8AKyBPt-Reservation-Contracting-Specialist-Cairo-Egypt
Business assistant,Al monairy -,Full TimeOn-site,"10th of Ramadan City, Sharqia, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Al-monairy-Egypt-15078
Human Resources Generalist,Junior-Tex -,Full TimeOn-site,"Obour City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Junior-Tex-Egypt-122500
HSE Officer,LEEDS FIT-OUT -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-95444
Medical Research Writer,Confidential -,Full TimeRemote,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/4xAL2gFAMQxT-Medical-Research-Writer-Cairo-Egypt
Digital Marketing Executive,Air Arabia -,Full TimeOn-site,"Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Air-Arabia-United-Arab-Emirates-24864
Accounting Manager - Manufacturing Only,Confidential -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/1ALmNbSJ4GnN-Accounting-Manager---Manufacturing-Only-Cairo-Egypt
Travel Consultant - Internship - Males only,Air Arabia -,Full TimeOn-site,"Mohandessin, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Air-Arabia-United-Arab-Emirates-24864
Inside Sales Representatives,Dura Light -,Full TimeOn-site,"Downtown, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Dura Light-Egypt-126170
B2B Specialist ( Business Developer ) - US market,Virtual Worker Now -,Full TimeRemote,"New York City, United States",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/MISFTS-Egypt-41026
Marketing Specialist (FMCG Background),Egybell -,Full TimeOn-site,"Obour City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Egybell-Egypt-16101
IT Manager,Confidential -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/MmBEZY7KbaSz-IT-Manager-Cairo-Egypt
Product Specialist,Paxton LLC -,Full TimeOn-site,"Downtown, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Paxton-15451
Senior Mechanical Tender Engineer,New Plan  -,Full TimeOn-site,"Sheraton, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/AlKhalil-Egypt-32501
Digital Marketing Manager,Confidential -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/iuLaH8jgu6fp-Digital-Marketing-Manager-Cairo-Egypt
Senior Architecture Technical office engineer ( Site),ATRIC Developments -,Full TimeOn-site,"New Capital, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/El-Asreya-for-Real-Estate-Development-Egypt-15435
Recruitment Specialist,AM Group -,Full TimeOn-site,"Omraneya, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-7856
Senior Civil Site Engineer,New Plan  -,Full TimeOn-site,"New Capital, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/AlKhalil-Egypt-32501
AP Accountant,Seoudi Supermarket -,Full TimeOn-site,"Sheikh Zayed, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/United-Grocers-Egypt-16038
Moderator,Estabraq  -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Albokhary-Egypt-23791
"F,F&E Engineer",Amer Vision Group -,Full TimeOn-site,"Sheraton, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Amer-vision-Egypt-64043
Senior Software Sales Specialist,Bevatel -,Full TimeOn-site,"Dokki, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Bavaya-Egypt-40591
Office Administrator,Sigma for Imp & Exp & Opera hearing Solutions -,Full TimeOn-site,"Heliopolis, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Sigma-for-Import-and-Export--Egypt-7013
Senior Architect,Khadija Salem Architets -,Full TimeHybrid,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Khadija Salem Architets-Egypt-126000
AR Accountant,Seoudi Supermarket -,Full TimeOn-site,"Sheikh Zayed, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/United-Grocers-Egypt-16038
Chief Executive Officer,Taeseer -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-113847
Quality Assurance and Pharmacovigilance Manager,IFT Corporation -,Full TimeOn-site,"Mokattam, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/IFT-Corporation-Egypt-16132
Motion Graphic Designer,Platinum education services -,Full TimeOn-site,"Nozha, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Platinum education services-Egypt-126172
Materials Planner,Bouri Group -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Bouri-Group-Egypt-56717
Sales Admin - Real Estate,Capital Link Developments -,Full TimeOn-site,"Heliopolis, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Progate-Egypt-16414
Junior Architecture Site Engineer,New Plan  -,Full TimeOn-site,"New Capital, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/AlKhalil-Egypt-32501
Designer of Sheet metal products,Firoz Group -,Full TimeOn-site,"Obour City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Firoz-Group-Egypt-9464
Mechanical Design Engineer,Kandil Industries -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Mekano-Egypt-109872
Course Content Creator - Alexandria,Arabic Localizer -,Full TimeOn-site,"San Stefano, Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Arabic-Localizer-Egypt-2790
Process Engineer (Plastic Injection Molding),Bouri Group -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Bouri-Group-Egypt-56717
Finishing Site Engineer,One Sixty One -,Full TimeOn-site,"Giza, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/One Sixty One-Egypt-77208
Digital Marketing Manager,Niche Magazine -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Niche-Magazine-Egypt-Egypt-125341
Internal Audit Manager,Delta Egypt for construction and rebuilding -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Delta-for-construction-and-rebuilding-Egypt-30080
Administrative Assistant,Agro green  -,Full TimeOn-site,"Heliopolis, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Agro-green-Egypt-90268
Line Leader,VIVO -,Full TimeOn-site,"10th of Ramadan City, Sharqia, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/VIVO-Egypt-75087
Technical Office Engineer,Dr.Greiche  -,Full TimeOn-site,"Heliopolis, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Dr-Greiche-Egypt-41590
Executive Secretary,AL-Ahram Group -,Full TimeOn-site,"Sheraton, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/AL-Ahram Group-Egypt-87360
Business Development Manager,Confidential -,Full TimeOn-site,"Mohandessin, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/qGHQlRwWBCob-Business-Development-Manager-Giza-Egypt
Technical Office Engineer (MEP),Roaia -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Roaia-Egypt-47759
Senior / Planning Engineer,DME Holding -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/HR-Section-Head-Egypt-37520
Continuous Improvement Engineer,Halwani Bros -,Full TimeOn-site,"10th of Ramadan City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Halwani-Bros-Egypt-4407
Brand Leasing Executive,Aswaq -,Full TimeOn-site,"Shorouk City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Aswaq-Egypt-94925
IT Specialist,Aswaq -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Aswaq-Egypt-94925
GL Accountant,Aswaq -,Full TimeOn-site,"Shorouk City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Aswaq-Egypt-94925
IT Project Manager,Dorra Group -,Full TimeOn-site,"Sheikh Zayed, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Dorra-Group-Egypt-20151
In-House Operations Assistant,Confidential -,Full TimeOn-site,"Attarin, Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/ja1L3LtQpWIM-In-House-Operations-Assistant-Alexandria-Egypt
HR Generalist,Good Seal Packaging   -,Full TimeOn-site,"10th of Ramadan City, Sharqia, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Good Seal Packaging-Egypt-111165
Accountant,HAWASH -,Full TimeOn-site,"Sahel, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/HAWASH-Egypt-126168
Sales Account Executive,OKRA Furniture -,Full TimeOn-site,"Zamalek, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/OKRA Furniture-Egypt-125657
Engineer,HAWASH -,Full TimeOn-site,"Sahel, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/HAWASH-Egypt-126168
English Teacher,AKM -,Part TimeRemote,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/AKM-Egypt-126167
Logistics Manager,Medical Engineering Company -,Full TimePart TimeOn-site,"Manial, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Medical Engineering Company-Egypt-125827
CRM Executive,Just For Women -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-124854
Medical Representative,Redbio pharma  -,Full TimeHybrid,"Downtown, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-116456
Accountant,Exceed -,Full TimeRemote,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Exceed-Saudi-Arabia-69079
Maintenance Manager,Option Travel -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Option-Travel-Egypt-41988
Operations Manager,Hamza Group -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Hamza-Group-Egypt-38289
Administrative Officer,M&A Glass Processing Company  -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/M&A Glass Processing Company-Egypt-88987
